None	RIGHT_OF

BEHIND	RIGHT_OF


NEAR


IN_FRONT_OF
BETWEEN
NEAR
IN_FRONT_OF
NEAR

NEAR
IN_FRONT_OF
IN_FRONT_OF
BETWEEN	NEAR
IN_FRONT_OF
NEAR	BETWEEN
BETWEEN
LEFT_OF
BETWEEN

BETWEEN
IN_FRONT_OF
NEAR
BETWEEN
BETWEEN
LEFT_OF	BETWEEN
BEHIND	IN_FRONT_OF
BEHIND
IN_FRONT_OF
BEHIND
NEAR	BEHIND
BEHIND
NEAR
FURTHEST
NEAR
BETWEEN
BETWEEN
RIGHT_OF




BETWEEN
NEAR
NEAR
NEAR
NEAR
FURTHEST
FURTHEST
BEHIND	NEAR
NEAR
IN_FRONT_OF
BEHIND
BEHIND
BETWEEN
BEHIND


BEHIND
FURTHEST
BEHIND
BETWEEN
BETWEEN
BETWEEN
IN_FRONT_OF
IN_FRONT_OF
BEHIND
BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN
NEAR
NEAR
BETWEEN
BETWEEN
NEAR
None	NEAR
IN_FRONT_OF
NEAR
NEAR
IN_FRONT_OF	LEFT_OF
NEAR
IN_FRONT_OF
LEFT_OF
NEAR
LEFT_OF
BEHIND	LEFT_OF
None
NEAR



BEHIND





LEFT_OF
BETWEEN
BETWEEN
BETWEEN


NEAR
IN_FRONT_OF
IN_FRONT_OF
BETWEEN
BETWEEN
IN_FRONT_OF
BETWEEN
BETWEEN
BETWEEN
IN_FRONT_OF
BETWEEN
BEHIND
BEHIND
RIGHT_OF

BETWEEN
BETWEEN
BEHIND
BEHIND
BEHIND
IN_FRONT_OF
BEHIND
BEHIND
NEAR
FURTHEST
BETWEEN
None	None
BEHIND	LEFT_OF
BEHIND
BETWEEN
BEHIND

RIGHT_OF
BETWEEN

LEFT_OF
RIGHT_OF
IN_FRONT_OF
IN_FRONT_OF
NEAR
NEAR
RIGHT_OF
RIGHT_OF
NEAR
BETWEEN
None
BEHIND
RIGHT_OF

RIGHT_OF	NEAR

RIGHT_OF

BEHIND	RIGHT_OF

BEHIND
RIGHT_OF
FURTHEST
BETWEEN
BEHIND
NEAR	BETWEEN
BEHIND	NEAR
BEHIND
NEAR
BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN
None
RIGHT_OF
BEHIND
NEAR
BETWEEN
None
BETWEEN	BEHIND
NEAR
BEHIND
BEHIND
BEHIND
BEHIND
None
BEHIND
BETWEEN
IN_FRONT_OF

BETWEEN
BETWEEN
BETWEEN
LEFT_OF
BETWEEN
RIGHT_OF
NEAR
IN_FRONT_OF	BETWEEN
BETWEEN
NEAR
BETWEEN
NEAR
BETWEEN
BEHIND


BEHIND
BEHIND
BEHIND
BEHIND
BEHIND
BEHIND
NEAR

BEHIND
BEHIND	LEFT_OF
BETWEEN
None

BETWEEN
BEHIND
BETWEEN
BETWEEN
BETWEEN
BEHIND
NEAR
BETWEEN
BETWEEN
BETWEEN
None
BETWEEN
BETWEEN

BETWEEN
BETWEEN

LEFT_OF
BETWEEN

BETWEEN

BEHIND
None
NEAR

BETWEEN
BETWEEN
BETWEEN
LEFT_OF
LEFT_OF
BETWEEN
NEAR
BETWEEN

None
NEAR	BETWEEN
BETWEEN
NEAR	NEAR
IN_FRONT_OF	LEFT_OF
LEFT_OF
IN_FRONT_OF
IN_FRONT_OF
NEAR
BEHIND
None
BEHIND
BETWEEN
NEAR
NEAR
LEFT_OF

None
IN_FRONT_OF	RIGHT_OF
IN_FRONT_OF
BETWEEN
BETWEEN
RIGHT_OF
BEHIND	LEFT_OF
BEHIND	LEFT_OF
BETWEEN
LEFT_OF
BETWEEN
LEFT_OF
BETWEEN

BEHIND
BEHIND
BETWEEN
NEAR
IN_FRONT_OF
BETWEEN
None
BEHIND

NEAR
IN_FRONT_OF
BETWEEN
NEAR
BEHIND	LEFT_OF
NEAR
NEAR
NEAR

BETWEEN
NEAR
IN_FRONT_OF
NEAR
BETWEEN
NEAR
IN_FRONT_OF
BETWEEN

BETWEEN
None
BETWEEN
BETWEEN
BETWEEN
BEHIND
RIGHT_OF
LEFT_OF
NEAR
NEAR	LEFT_OF
BETWEEN
LEFT_OF
LEFT_OF

NEAR
NEAR
LEFT_OF
LEFT_OF
LEFT_OF
BETWEEN

BETWEEN
NEAR	None
BETWEEN
BETWEEN
BETWEEN
BETWEEN
BEHIND	IN_FRONT_OF
BEHIND
NEAR
BETWEEN
NEAR

BEHIND	LEFT_OF
IN_FRONT_OF
NEAR
IN_FRONT_OF
BETWEEN
NEAR
NEAR
BETWEEN
NEAR
BETWEEN
NEAR
BETWEEN
BETWEEN
BEHIND

BEHIND
BETWEEN
BETWEEN
LEFT_OF	BEHIND
NEAR
NEAR
IN_FRONT_OF
BEHIND
BEHIND
BEHIND
LEFT_OF	NEAR
BETWEEN
BETWEEN
LEFT_OF

LEFT_OF



BETWEEN

BETWEEN
BEHIND
BETWEEN

LEFT_OF
NEAR

BEHIND
NEAR
BETWEEN
NEAR
IN_FRONT_OF	BETWEEN
NEAR
BETWEEN
NEAR

IN_FRONT_OF	BETWEEN	None

NEAR
BETWEEN
BETWEEN
BETWEEN

IN_FRONT_OF


IN_FRONT_OF	BEHIND
BETWEEN

IN_FRONT_OF
FURTHEST	IN_FRONT_OF

IN_FRONT_OF
IN_FRONT_OF
IN_FRONT_OF
BETWEEN
LEFT_OF

BETWEEN
BETWEEN
RIGHT_OF
LEFT_OF	RIGHT_OF
BETWEEN
NEAR
BEHIND
FURTHEST
NEAR
NEAR
FURTHEST
NEAR
BETWEEN	NEAR
BETWEEN
RIGHT_OF
LEFT_OF
NEAR
NEAR
NEAR
IN_FRONT_OF	BETWEEN

LEFT_OF

LEFT_OF
LEFT_OF
LEFT_OF
LEFT_OF

IN_FRONT_OF
IN_FRONT_OF
IN_FRONT_OF

IN_FRONT_OF


IN_FRONT_OF
FURTHEST
IN_FRONT_OF
BETWEEN
NEAR
BETWEEN
IN_FRONT_OF
IN_FRONT_OF
IN_FRONT_OF
NEAR
IN_FRONT_OF
NEAR
BETWEEN
NEAR
NEAR
NEAR
BEHIND
BETWEEN
NEAR	NEAR
NEAR
IN_FRONT_OF

LEFT_OF	NEAR
IN_FRONT_OF
NEAR	NEAR
BEHIND
BEHIND
BETWEEN
BETWEEN
BETWEEN

BEHIND



RIGHT_OF

RIGHT_OF


NEAR
BETWEEN
IN_FRONT_OF

BETWEEN	NEAR
IN_FRONT_OF
NEAR
NEAR
NEAR
LEFT_OF
BETWEEN
RIGHT_OF
IN_FRONT_OF
BETWEEN
BETWEEN
BETWEEN
RIGHT_OF
NEAR
LEFT_OF

NEAR

BETWEEN	NEAR
None
IN_FRONT_OF	NEAR
NEAR
BETWEEN
RIGHT_OF	IN_FRONT_OF
BEHIND	NEAR
FURTHEST
NEAR
FURTHEST
BETWEEN

BEHIND
RIGHT_OF

RIGHT_OF

NEAR
NEAR
NEAR
RIGHT_OF
LEFT_OF
RIGHT_OF
BETWEEN
RIGHT_OF
BETWEEN
BETWEEN
NEAR
BETWEEN
BETWEEN
LEFT_OF
None
RIGHT_OF

NEAR
IN_FRONT_OF
IN_FRONT_OF
FURTHEST
IN_FRONT_OF
NEAR
IN_FRONT_OF
NEAR
BETWEEN

BETWEEN
BETWEEN
BEHIND	NEAR
LEFT_OF

BETWEEN
IN_FRONT_OF
NEAR
BETWEEN

BETWEEN
BETWEEN
NEAR	None
BEHIND
IN_FRONT_OF
BETWEEN
BETWEEN
None
BEHIND
NEAR
IN_FRONT_OF
BETWEEN
BETWEEN
IN_FRONT_OF

BETWEEN
NEAR
BEHIND	LEFT_OF
NEAR

BEHIND
BEHIND
BEHIND
BETWEEN
LEFT_OF

NEAR	BETWEEN
LEFT_OF

BETWEEN

LEFT_OF
RIGHT_OF


BETWEEN
BETWEEN
IN_FRONT_OF
IN_FRONT_OF
BEHIND	RIGHT_OF
NEAR
NEAR
BEHIND
IN_FRONT_OF
IN_FRONT_OF
NEAR
NEAR
NEAR
NEAR
NEAR
BEHIND
FURTHEST	BEHIND
FURTHEST
BEHIND
BETWEEN
RIGHT_OF
BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN

BETWEEN
LEFT_OF
LEFT_OF
LEFT_OF


BETWEEN
BETWEEN
IN_FRONT_OF
IN_FRONT_OF
BETWEEN

NEAR	BEHIND
BETWEEN
NEAR
IN_FRONT_OF
NEAR
FURTHEST
NEAR
NEAR	NEAR
NEAR
BETWEEN
NEAR
NEAR
NEAR
BETWEEN
LEFT_OF
IN_FRONT_OF
IN_FRONT_OF
NEAR
BEHIND
IN_FRONT_OF	None
BEHIND
BETWEEN
RIGHT_OF
BEHIND

BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN
LEFT_OF
BEHIND
RIGHT_OF
BETWEEN
None
BEHIND
BEHIND
NEAR

BETWEEN
BETWEEN
LEFT_OF
BETWEEN
NEAR	NEAR
BETWEEN
LEFT_OF
LEFT_OF
BETWEEN
NEAR
IN_FRONT_OF
IN_FRONT_OF
NEAR
IN_FRONT_OF
NEAR
FURTHEST
NEAR

BETWEEN
NEAR
IN_FRONT_OF
NEAR
BETWEEN
NEAR
BETWEEN
BETWEEN
BETWEEN
BETWEEN
RIGHT_OF

BETWEEN
BETWEEN
IN_FRONT_OF

BEHIND


BEHIND
BEHIND
BEHIND
BETWEEN
NEAR
NEAR
IN_FRONT_OF
IN_FRONT_OF
IN_FRONT_OF	LEFT_OF
IN_FRONT_OF
None	RIGHT_OF
BETWEEN
NEAR	None
BETWEEN
BETWEEN
NEAR
RIGHT_OF
BETWEEN
RIGHT_OF
NEAR
NEAR
NEAR
NEAR
IN_FRONT_OF

NEAR

BEHIND

BEHIND
BETWEEN
BEHIND
BETWEEN

RIGHT_OF

RIGHT_OF	IN_FRONT_OF

IN_FRONT_OF

RIGHT_OF
FURTHEST	RIGHT_OF
NEAR
NEAR
BEHIND
BEHIND
BEHIND
BEHIND
IN_FRONT_OF
IN_FRONT_OF	BETWEEN
BETWEEN
LEFT_OF
LEFT_OF
BETWEEN
BETWEEN
NEAR
BEHIND
BEHIND
NEAR
BEHIND
BEHIND
BEHIND
IN_FRONT_OF
IN_FRONT_OF
IN_FRONT_OF

IN_FRONT_OF
NEAR
LEFT_OF
BETWEEN	NEAR
